汉字	声、韵	调	是否白读	注释
胞	pau	44		
庖	pau	24		
袍	pau	24		
饱	pau	53		
鲍	pau	31		
□	pau	11		突出来
抛	pʰau	44		
□	pʰau	44		柚子
跑	pʰau	53		
泡	pʰau	11		
炮	pʰau	11		
抱	pʰau	11		怀～
卯	bau	53		
铆	bau	53		
兜	tau	44	白读	
篼	tau	44		
□	tau	44		骹～：地上
□	tau	44		～骹：一种旧时简易轿子
投	tau	24	白读	～降
斗	tau	53	白读	一～米
陡	tau	53	白读	
抖	tau	53	白读	
罩	tau	11		
窦	tau	11		
昼	tau	11	白读	日～：中午
豆	tau	11	白读	
偷	tʰau	44	白读	小～
头	tʰau	24	白读	
㪗	tʰau	53		解开
透	tʰau	11	白读	
□	tʰau	11		毒死（虫类）
流	lau	24	白读	
留	lau	24	白读	
楼	lau	24	白读	
篓	lau	53		
老	lau	31	白读	
漏	lau	11	白读	
糟	t͡sau	44	白读	酒～
剿	t͡sau	24		～灭
巢	t͡sau	24		黄～
齐	t͡sau	24	白读	
走	t͡sau	53	白读	
蚤	t͡sau	53	白读	家～：跳蚤
找	t͡sau	53		
奏	t͡sau	11	白读	
灶	t͡sau	11		
钞	t͡sʰau	44		～票
操	t͡sʰau	44	白读	做～
草	t͡sʰau	53	白读	
吵	t͡sʰau	53		
炒	t͡sʰau	53		
臭	t͡sʰau	11	白读	
凑	t͡sʰau	11	白读	
艄	sau	44		
搜	sau	44	白读	
扫	sau	11		
嗽	sau	11	白读	
交	kau	44		
郊	kau	44		
蛟	kau	44		
勾	kau	44	白读	
钩	kau	44	白读	
沟	kau	44	白读	
猴	kau	24	白读	
玖	kau	53	白读	
九	kau	53	白读	
狗	kau	53	白读	
较	kau	53		
饺	kau	53		
枸	kau	53		～杞
厚	kau	31	白读	
教	kau	11		
到	kau	11	白读	
够	kau	11	白读	
校	kau	11		～对
敲	kʰau	44		
薅	kʰau	44	白读	～草：除草
口	kʰau	53	白读	出～
铐	kʰau	11		
扣	kʰau	11	白读	
吼	hau	53	白读	哭
孝	hau	11		
酵	hau	11		
效	hau	11		
校	hau	11		学～
凹	au	44		
瓯	au	44	白读	茶～：茶杯
□	au	44		使……变弯
喉	au	24	白读	
□	au	53		折叠
后	au	31	白读	～生：年青
拗	au	11		
沤	au	11	白读	东西久浸水中
标	piau	44		
膘	piau	44		
镖	piau	44		
表	piau	53		
婊	piau	53		
裱	piau	53		
飘	pʰiau	44		
嫖	pʰiau	24		
瓢	pʰiau	24		
剽	pʰiau	24		
漂	pʰiau	24		～白，～亮
票	pʰiau	11		
苗	biau	24		
瞄	biau	24		
描	biau	24		
锚	biau	24		
猫	biau	24		
秒	biau	53		
渺	biau	53		
藐	biau	53		
□	biau	53		
妙	biau	11		
庙	biau	11		
刁	tiau	44		
貂	tiau	44		
雕	tiau	44		
凋	tiau	44		
碉	tiau	44		
朝	tiau	44		～暮
牢	tiau	24	白读	～显～：很牢固；牛～：牛栏
条	tiau	24		
□	tiau	53		腔调不正
调	tiau	31		音～，～整
兆	tiau	11		
召	tiau	11		
吊	tiau	11		
钓	tiau	11		
挑	tʰiau	44		
□	tʰiau	44		～池：故意
迢	tʰiau	24		
眺	tʰiau	53		～望
柱	tʰiau	31		栋～：柱子
跳	tʰiau	11		
粜	tʰiau	11		
辽	liau	24		
疗	liau	24		
僚	liau	24		
燎	liau	24		
嘹	liau	24		
潦	liau	24		
聊	liau	24		
了	liau	53		
料	liau	11		
廖	liau	11		
寥	liau	11		
焦	t͡siau	44		
礁	t͡siau	44		
樵	t͡siau	44		～夫
昭	t͡siau	44		
招	t͡siau	44		
浇	t͡siau	44		
朝	t͡siau	24	白读	～东，～西
鸟	t͡siau	53	白读	
照	t͡siau	11		
超	t͡sʰiau	44		
抄	t͡sʰiau	44		
□	t͡sʰiau	24		理睬
朝	t͡sʰiau	24	白读	又读，～东，～西
悄	t͡sʰiau	53		
俏	t͡sʰiau	53		
肖	siau	44		
宵	siau	44		
消	siau	44		
硝	siau	44		
萧	siau	44		
箫	siau	44		
□	siau	24		精液
小	siau	53		
少	siau	53		
笑	siau	11		
数	siau	11		算～：算帐
绍	siau	11		
□	ziau	24		皱
爪	ziau	53		
扰	ziau	53		
绕	ziau	53		
□	ziau	11		挠（痒）
娇	kiau	44		
骄	kiau	44		
□	kiau	44		～头：浇在粉条等面食上的佐料，多用鸡丝、肉丝等做成
乔	kiau	24		
侨	kiau	24		
桥	kiau	24		
缴	kiau	53		
饺	kiau	53		
搅	kiau	53		跋～：赌博
□	kiau	53		～显～：（小孩）很顽皮
□	kiau	31		咒骂；拗起来
叫	kiau	11		
轿	kiau	11		
□	kʰiau	44		～骹：抬腿
跷	kʰiau	44		～ku44：驼背
翘	kʰiau	11		死～～（一种讥笑或诙谐说法）；弯曲不直
尧	ɡiau	24		
饶	ɡiau	24		
侥	hiau	44		～幸
骁	hiau	44		～勇
□	hiau	44		否认说过的话，还跟别人争
嚣	hiau	44		～张
晓	hiau	53		
夭	iau	44		
妖	iau	44		
要	iau	44		～求
么	iau	44		
吆	iau	44		
邀	iau	44		
腰	iau	44		
窈	iau	44		～窕
枵	iau	44		饿
摇	iau	24		
瑶	iau	24		
谣	iau	24		
徭	iau	24		
□	iau	53		～未来：还未来
耀	iau	11		
要	iau	11		重要
班	pan	44		
斑	pan	44		
颁	pan	44		
瘢	pan	44		
般	pan	44		
搬	pan	44		
瓶	pan	24	白读	
板	pan	53		
版	pan	53		
坂	pan	53		
阪	pan	53		
扮	pan	11		
办	pan	11		
攀	pʰan	44		
盼	pʰan	11		
蛮	ban	24		
□	ban	53		摘
万	ban	11		
曼	ban	11		
蔓	ban	11		
慢	ban	11		
漫	ban	11		
幔	ban	11		
丹	tan	44		
单	tan	44		
郸	tan	44		
钉	tan	44	白读	钉子
耽	tan	44		
眈	tan	44		
担	tan	44		～保
陈	tan	24		姓
谈	tan	24		
□	tan	24		湿
□	tan	24		响
弹	tan	24		～棉花
亭	tan	24	白读	路～：路边供行人休息的小亭子
等	tan	53	白读	
胆	tan	53		
淡	tan	31		
氮	tan	31		
诞	tan	11		
旦	tan	11		
但	tan	11		
蛋	tan	11		
惮	tan	11		
弹	tan	11		子～
滩	tʰan	44		
摊	tʰan	44		
瘫	tʰan	44		
贪	tʰan	44		
蛏	tʰan	44	白读	～干
痰	tʰan	24		
覃	tʰan	24		
潭	tʰan	24		
谭	tʰan	24		
檀	tʰan	24		
坛	tʰan	24		
昙	tʰan	24		
坦	tʰan	53		
袒	tʰan	53		～护
毯	tʰan	53		
□	tʰan	31		形容走路慢的样子
叹	tʰan	11		
炭	tʰan	11		
趁	tʰan	11		
探	tʰan	11		
□	tʰan	11		赚
□	lan	44		手～：手茧
□	lan	44		下垂
兰	lan	24		
拦	lan	24		
栏	lan	24		
澜	lan	24		
蓝	lan	24		
褴	lan	24		
篮	lan	24		
婪	lan	24		
南	lan	24		
楠	lan	24		
男	lan	24		
岚	lan	24		
□	lan	53		咱们
览	lan	53		
揽	lan	53		
滥	lan	11		
烂	lan	11		
曾	t͡san	44		姓
针	t͡san	44	白读	
簪	t͡san	44		
层	t͡san	24		
□	t͡san	24		～猪：阉猪
盏	t͡san	53		
斩	t͡san	53		
崭	t͡san	53		
站	t͡san	31		
赞	t͡san	11		
暂	t͡san	11		
餐	t͡sʰan	44		
参	t͡sʰan	44		
掺	t͡sʰan	44		
□	t͡sʰan	44		呻吟
蚕	t͡sʰan	24		
残	t͡sʰan	24		
蝉	t͡sʰan	24		
缠	t͡sʰan	24		
塍	t͡sʰan	24		田
馋	t͡sʰan	24		
□	t͡sʰan	24		形容干活起劲
产	t͡sʰan	53		
铲	t͡sʰan	53		～除
惨	t͡sʰan	53		
灿	t͡sʰan	11		
忏	t͡sʰan	11		
谶	t͡sʰan	11		预言
删	san	44		
珊	san	44		
山	san	44		
疝	san	44		
汕	san	44		
舢	san	44		～板
杉	san	44		
三	san	44		
衫	san	44		
□	san	44		沾在身上的污垢
馋	san	24	白读	嘴馋
□	san	53		瘦
散	san	11		～步
干	kan	44		～燥
奸	kan	44		
杆	kan	44		
肝	kan	44		
艰	kan	44		
竽	kan	44		
艰	kan	44		
间	kan	44		中～
涧	kan	44		
甘	kan	44		
柑	kan	44		
泔	kan	44		
疳	kan	44		
含	kan	24	白读	
简	kan	53		
柬	kan	53		
赶	kan	53		
感	kan	53		
敢	kan	53		
干	kan	11		～部
间	kan	11		～断
监	kan	11		
鉴	kan	11		
刊	kʰan	44		
牵	kʰan	44	白读	～牛
戡	kʰan	44		
堪	kʰan	44		
龛	kʰan	44		佛～
砍	kʰan	53		
坎	kʰan	53		
侃	kʰan	53		
看	kʰan	11		
颜	ɡan	24		
岩	ɡan	24		
癌	ɡan	24		
□	ɡan	24		冷
眼	ɡan	53		
雁	ɡan	11		
谚	ɡan	11		
□	ɡan	11		～水：审察
蚶	han	44		
酣	han	44		
鼾	han	44		
憨	han	44		
韩	han	24		
闲	han	24		
寒	han	24		
函	han	24		
涵	han	24		
咸	han	24		
衔	han	24		
翰	han	24		
瀚	han	24		
含	han	24		
邯	han	24		
闲	han	24		
娴	han	24		
罕	han	53		
喊	han	53		
限	han	31		
旱	han	31		
撼	han	31		
汉	han	11		
汗	han	11		
焊	han	11		
陷	han	11		
憾	han	11		
翰	han	11		～林
岸	han	11		
安	an	44		
氨	an	44		
鞍	an	44		
痷	an	44		
□	an	24		紧
饮	an	53	白读	米汤
案	an	11		
按	an	11		
暗	an	11		
宴	an	11		又读，～会
边	pian	44		
鞭	pian	44		
编	pian	44		
扁	pian	53		
匾	pian	53		
蝙	pian	53		
贬	pian	53		
辨	pian	31		
辩	pian	31		
辫	pian	31		
遍	pian	11		
变	pian	11		
卞	pian	11		
便	pian	11		方～
偏	pʰian	44		
篇	pʰian	44		
翩	pʰian	44		
骈	pʰian	24		
骗	pʰian	11		
片	pʰian	11		
棉	bian	24		
绵	bian	24		
眠	bian	24		
免	bian	53		
勉	bian	53		
娩	bian	53		
冕	bian	53		
面	bian	11		
缅	bian	11		
颠	tian	44		
癫	tian	44		
砧	tian	44	白读	案板
踮	tian	44		用脚趾走路
巅	tian	44		
田	tian	24		
滇	tian	24		
填	tian	24		
展	tian	53		
典	tian	53		
碘	tian	53		
点	tian	53		
垫	tian	31		
电	tian	11		
殿	tian	11		
奠	tian	11		
佃	tian	11		
淀	tian	11		
甸	tian	11		
店	tian	11		
□	tian	11		人藏起来
天	tʰian	44		
添	tʰian	44		
甜	tʰian	24		
舔	tʰian	24		
恬	tʰian	24		
展	tʰian	53	白读	
□	tʰian	53		张开
□	tʰian	11		增添
拈	lian	44		
粘	lian	44		
捻	lian	44		
□	lian	44		～手～骹：蹑手蹑脚
蔫	lian	44		
连	lian	24		
莲	lian	24		
琏	lian	24		
涟	lian	24		
鲢	lian	24		
廉	lian	24		
镰	lian	24		
年	lian	24		
联	lian	24		
辇	lian	53		
撵	lian	53		
脸	lian	53		
敛	lian	53		
殓	lian	53		
碾	lian	53		
念	lian	11		
炼	lian	11		
练	lian	11		
链	lian	11		
尖	t͡sian	44		
笺	t͡sian	44		
煎	t͡sian	44		
沾	t͡sian	44		
前	t͡sian	24		
钱	t͡sian	24		
潜	t͡sian	24		
剪	t͡sian	53		
翦	t͡sian	53		
溅	t͡sian	31		
占	t͡sian	11		
战	t͡sian	11		
贱	t͡sian	11		
荐	t͡sian	11		
箭	t͡sian	11		
渐	t͡sian	11		
践	t͡sian	11		
□	t͡sian	11		（孩子）玩耍
千	t͡sʰian	44		
迁	t͡sʰian	44		
阡	t͡sʰian	44		
纤	t͡sʰian	44		
歼	t͡sʰian	44		～灭
跹	t͡sʰian	44		
扦	t͡sʰian	44		
仟	t͡sʰian	44		
签	t͡sʰian	44		
□	t͡sʰian	44		确准
□	t͡sʰian	44		钻（入水中）
钎	t͡sʰian	24		铁～，钢～
浅	t͡sʰian	53		
□	t͡sʰian	11		（刀）刺
先	sian	44		
仙	sian	44		
籼	sian	44		
鲜	sian	44		～明，朝～
婵	sian	24		
禅	sian	24		
单	sian	24		姓
闪	sian	53		
陕	sian	53		
癣	sian	53		
善	sian	31		
蟮	sian	31		
鳝	sian	31		
膳	sian	31		
缮	sian	31		
线	sian	11		
羡	sian	11		
暹	sian	11		
扇	sian	11		～动，电～
然	zian	24		
冉	zian	53		
髯	zian	53		
染	zian	53		
燃	zian	53		
兼	kian	44		
捐	kian	44		
娟	kian	44		
肩	kian	44		
坚	kian	44		
菅	kian	44		草～人命
咸	kian	24		～显～：很咸
减	kian	53		
碱	kian	53		
检	kian	53		
茧	kian	53		
件	kian	31		
腱	kian	31	白读	
见	kian	11		
剑	kian	11		
建	kian	11		
健	kian	11		
腱	kian	11		
牵	kʰian	44		
骞	kʰian	44		
谦	kʰian	44		
乾	kʰian	24		～坤
虔	kʰian	24		
犬	kʰian	53		
遣	kʰian	53		
谴	kʰian	53		
歉	kʰian	53		
俭	kʰian	31		
欠	kʰian	11		
堑	kʰian	11		
茜	kʰian	11		
倩	kʰian	11		
研	ɡian	44		
言	ɡian	24		
唁	ɡian	24		
严	ɡian	24		
阎	ɡian	24		
俨	ɡian	53		～然
□	ɡian	31		～头：瘾
验	ɡian	11		
轩	hian	44		
掀	hian	44		
玄	hian	24		
弦	hian	24		
舷	hian	24		
炫	hian	24		
贤	hian	24		
嫌	hian	24		
显	hian	53		
险	hian	53		
岘	hian	31		
县	hian	11		
悬	hian	11		
现	hian	11		
宪	hian	11		
献	hian	11		
砚	hian	11		
渊	ian	44		
烟	ian	44		
咽	ian	44		
胭	ian	44		
焉	ian	44		
嫣	ian	44		
阉	ian	44		
淹	ian	44		
腌	ian	44		
燕	ian	44		～京
沿	ian	24		
铅	ian	24		～笔
船	ian	24		
延	ian	24		
筵	ian	24		
蜒	ian	24		
盐	ian	24		
演	ian	53		
衍	ian	53		
掩	ian	53		
□	ian	31		～过～：犹豫不安
宴	ian	11		～会
堰	ian	11		
燕	ian	11		～子
厌	ian	11		
炎	ian	11		
焰	ian	11		
艳	ian	11		
□	ian	11		父母称儿媳
盘	puan	24		～点
半	puan	11		
盘	pʰuan	24		～古
判	pʰuan	31		
伴	pʰuan	31		
拌	pʰuan	31		
叛	pʰuan	11		背～
瞒	buan	24		
满	buan	53		
晚	buan	53		
挽	buan	53		
端	tuan	44		
传	tuan	24		宣～
短	tuan	53		
断	tuan	31		
段	tuan	31		
锻	tuan	31		
缎	tuan	31		
传	tuan	11		自～
□	tuan	11		事先说好；～价：讨价还价
团	tʰuan	24		
篆	tʰuan	24		
峦	luan	24		
恋	luan	24		
孪	luan	24		
銮	luan	24		
鸾	luan	24		
滦	luan	24		
暖	luan	53		
软	luan	53		
卵	luan	53		
乱	luan	11		
专	t͡suan	44		
砖	t͡suan	44		
钻	t͡suan	44		
全	t͡suan	24		
泉	t͡suan	24		
转	t͡suan	53		
撰	t͡suan	11		
川	t͡sʰuan	44		
穿	t͡sʰuan	44		
铨	t͡sʰuan	44		
痊	t͡sʰuan	44		
荃	t͡sʰuan	44		
喘	t͡sʰuan	53		
串	t͡sʰuan	11		
窜	t͡sʰuan	11		
篡	t͡sʰuan	11		～位
纂	t͡sʰuan	11		
宣	suan	44		
酸	suan	44		
喧	suan	44		
栓	suan	44		
拴	suan	44		
旋	suan	24		～转，凯～
璇	suan	24		
选	suan	53		
算	suan	11		
蒜	suan	11		
冠	kuan	44		～军，衣冠
观	kuan	44		
关	kuan	44		
官	kuan	44		
棺	kuan	44		
鹃	kuan	44		
鳏	kuan	44		
权	kuan	24		
颧	kuan	24		～骨
管	kuan	53		
馆	kuan	53		
卷	kuan	53		～动
贯	kuan	11		
惯	kuan	11		
灌	kuan	11		
罐	kuan	11		
眷	kuan	11		
卷	kuan	11		考～
倦	kuan	11		
观	kuan	11		贞～
宽	kʰuan	44		
圈	kʰuan	44		
环	kʰuan	24	白读	～绕
款	kʰuan	53		
劝	kʰuan	11		
原	ɡuan	24		
源	ɡuan	24		
阮	ɡuan	53		
玩	ɡuan	53		
顽	ɡuan	53		
愿	ɡuan	11		
欢	huan	44		
番	huan	44		
翻	huan	44		
幡	huan	44		
藩	huan	44		曾国～
吩	huan	44	白读	～咐
凡	huan	24		
矾	huan	24		
帆	huan	24		
还	huan	24		
环	huan	24		玉～（地名）
寰	huan	24		
烦	huan	24		
桓	huan	24		
繁	huan	24		
烦	huan	24		
樊	huan	24		
宦	huan	24		
梵	huan	24		
反	huan	53		
返	huan	53		
犯	huan	31		
范	huan	31		
浣	huan	31		
患	huan	31		
泛	huan	31		
幻	huan	31		
饭	huan	11		
贩	huan	11		
唤	huan	11		
焕	huan	11		
换	huan	11		
涣	huan	11		
絭	huan	11		
□	huan	11		形容有弹性
弯	uan	44		
湾	uan	44		
冤	uan	44		
鸳	uan	44		
园	uan	24		
圆	uan	24		
员	uan	24		
元	uan	24		
完	uan	24		
丸	uan	24		
纨	uan	24		
袁	uan	24		
猿	uan	24		
院	uan	24		
宛	uan	53		
惋	uan	53		
碗	uan	53		
婉	uan	53		
豌	uan	53		
腕	uan	53		
琬	uan	53		
剜	uan	53		
苑	uan	53		
畹	uan	53		
远	uan	53		
皖	uan	53		
缓	uan	31		
援	uan	31		
怨	uan	11		
邦	paŋ	44		
崩	paŋ	44	白读	
枋	paŋ	44		木板
房	paŋ	24	白读	
缝	paŋ	24	白读	
蚌	paŋ	53		
绑	paŋ	53		
放	paŋ	11		
乓	pʰaŋ	44		
芳	pʰaŋ	44	白读	香
蜂	pʰaŋ	44	白读	
篷	pʰaŋ	24		船～
庞	pʰaŋ	24		
冯	pʰaŋ	24		
□	pʰaŋ	24		双手用盘端东西
彭	pʰaŋ	24		
纺	pʰaŋ	53	白读	
缝	pʰaŋ	11	白读	裂缝
蠓	baŋ	53	白读	蚊子
网	baŋ	31	白读	
梦	baŋ	11	白读	
冬	taŋ	44	白读	
东	taŋ	44	白读	
当	taŋ	44	白读	～心
铛	taŋ	44		
同	taŋ	24	白读	相～
铜	taŋ	24	白读	
筒	taŋ	24	白读	大骹～：小腿浮肿
董	taŋ	53	白读	古～
重	taŋ	31	白读	轻～
动	taŋ	31	白读	活～
冻	taŋ	11	白读	
窗	tʰaŋ	44	白读	～：窗戶
虫	tʰaŋ	24	白读	
桐	tʰaŋ	24	白读	～油
桶	tʰaŋ	53	白读	
□	laŋ	44		胳～骹：腋下
□	laŋ	44		疏～：稀疏
脓	laŋ	24	白读	
侬	laŋ	24		人
郎	laŋ	24	白读	新～
聋	laŋ	24	白读	
砻	laŋ	24		
笼	laŋ	53	白读	
笼	laŋ	31	白读	放筷子的家具
弄	laŋ	11	白读	戏～
棕	t͡saŋ	44	白读	
鬃	t͡saŋ	44	白读	马～
脏	t͡saŋ	44		
株	t͡saŋ	24	白读	一～树
粽	t͡saŋ	11	白读	
葱	t͡sʰaŋ	44	白读	
苍	t͡sʰaŋ	44	白读	染～：一种深蓝颜色
耸	t͡sʰaŋ	11	白读	头毛～～：头发蓬松四散
松	saŋ	44	白读	放～
双	saŋ	44	白读	
桑	saŋ	44	白读	
送	saŋ	11	白读	
江	kaŋ	44		
工	kaŋ	44	白读	～夫
公	kaŋ	44	白读	雄性
蚣	kaŋ	44	白读	蜈～
讲	kaŋ	53		
港	kaŋ	53		
降	kaŋ	53		下～
共	kaŋ	53		相～：帮助
空	kʰaŋ	44	白读	
□	kʰaŋ	11		抠
□	kʰaŋ	11		～野：调皮，好玩耍
夯	haŋ	44		
烘	haŋ	44	白读	
行	haŋ	24		银～
降	haŋ	24		投～
航	haŋ	24		
杭	haŋ	24		
项	haŋ	31		
巷	haŋ	11		
肮	aŋ	44		
翁	aŋ	44	白读	～某：夫妻
红	aŋ	24	白读	
洪	aŋ	24	白读	～秀全
瓮	aŋ	11	白读	
谁	tiaŋ	24	白读	
漳	t͡siaŋ	44	白读	～州（地名）
涨	t͡siaŋ	53		
□	t͡siaŋ	31		纯粹
□	kʰiaŋ	11		形容极好
扬	iaŋ	24	白读	
□	kʰuaŋ	31		敲锣声
风	huaŋ	44	白读	刮～
慌	huaŋ	44	白读	～里～张
谎	huaŋ	44	白读	
针	t͡sən	44		
箴	t͡sən	44		
森	sən	44		
参	sən	44		海～，人～
斤	kən	44		
巾	kən	44		
根	kən	44		
跟	kən	44		
筋	kən	44		
均	kən	44		
钧	kən	44		
近	kən	31		
啃	kʰən	44		
坤	kʰən	44		
勤	kʰən	24		
芹	kʰən	24		～菜
恳	kʰən	53		
银	ɡən	24		
欣	hən	44		
馨	hən	44		
痕	hən	24		
很	hən	53		
狠	hən	53		
恨	hən	11		
恩	ən	44		
殷	ən	44		
□	ən	24		字～：辈份；层
允	ən	53		
隐	ən	53		
稳	ən	53		
□	ən	11		波及
宾	pin	44		
滨	pin	44		
缤	pin	44		
彬	pin	44		
斌	pin	44		
扁	pin	44	白读	～担
贫	pin	24		
频	pin	24		
濒	pin	24		
禀	pin	53		
秉	pin	53		
殡	pin	11		
膑	pin	11		
鬓	pin	11		
槟	pin	11		
频	pʰin	24		又读
品	pʰin	53		
□	pʰin	53		鱼被捕后挣扎跳跃的样子
民	bin	24		
眠	bin	24		
岷	bin	24		
闽	bin	53		
敏	bin	53		
闵	bin	53		
悯	bin	53		
面	bin	11		
珍	tin	44		
诊	tin	44		
津	tin	44		
尘	tin	24		
藤	tin	24		
沉	tin	24		
陈	tin	24		～茶叶，～列
镇	tin	11		
阵	tin	11		～势
圳	tin	11		深～
朕	tin	11		
□	tin	11		蒸
□	tin	11		点头
琛	tʰin	44		
□	tʰin	24		～酒：斟酒
□	tʰin	11		对称
□	lin	44		～酒：小口地饮酒
怜	lin	24		
邻	lin	24		
磷	lin	24		
麟	lin	24		
鳞	lin	24		
林	lin	24		
淋	lin	24		
琳	lin	24		
霖	lin	24		
临	lin	24		
凛	lin	53		
廪	lin	53		
恁	lin	53		你们
吝	lin	11		
佞	lin	11		
□	lin	11		刚睡着
真	t͡sin	44		
斟	t͡sin	44		
秦	t͡sin	24		
震	t͡sin	53		
振	t͡sin	53		
赈	t͡sin	53		
拯	t͡sin	53		包～
枕	t͡sin	53		～头
婶	t͡sin	53	白读	
□	t͡sin	53		挤
尽	t͡sin	31		
进	t͡sin	11		
晋	t͡sin	11		
烬	t͡sin	11		
浸	t͡sin	11		
亲	t͡sʰin	44		
深	t͡sʰin	44		
寝	t͡sʰin	53		
侵	t͡sʰin	53		
秤	t͡sʰin	11		
称	t͡sʰin	11	白读	
□	t͡sʰin	11		冷，凉
新	sin	44		
薪	sin	44		
心	sin	44		
芯	sin	44		
申	sin	44		
伸	sin	44		
身	sin	44		
辛	sin	44		
锌	sin	44		
神	sin	24		
臣	sin	24		
辰	sin	24		
晨	sin	24		
寻	sin	24		
绳	sin	24		
丞	sin	24		～相
□	sin	24		用手接落下的东西
迅	sin	53		
审	sin	53		
沈	sin	53		～阳
讯	sin	53		
汛	sin	53		
□	sin	31		～一下：思考一下
信	sin	11		
慎	sin	11		
剩	sin	11		
甚	sin	11		
人	zin	24		
仁	zin	24		
忍	zin	53		
韧	zin	53		
认	zin	11		
任	zin	11		
金	kin	44		
今	kin	44		
紧	kin	53		
锦	kin	53		
妗	kin	31		
禁	kin	11		
谨	kin	11		
仅	kin	11		
轻	kʰin	44		
氢	kʰin	44		
琴	kʰin	24		
禽	kʰin	24		
擒	kʰin	24		
黔	kʰin	24		
吟	ɡin	24		～诗
熊	hin	24	白读	
眩	hin	24	白读	头晕
因	in	44		
茵	in	44		
姻	in	44		
阴	in	44		
荫	in	44		
音	in	44		
□	in	44		绕线
淹	in	44	白读	
寅	in	24		
淫	in	24		
引	in	53		
饮	in	53		
印	in	11		
孕	in	11		
分	pun	44	白读	～开
奔	pun	44		
□	pun	24		～火：吹火
本	pun	53		
笨	pun	31		
粪	pun	11	白读	
潘	pʰun	44		泔水
□	pʰun	44		～珠：玉米
喷	pʰun	11		
文	bun	24		
汶	bun	24		
纹	bun	24		
雯	bun	24		
门	bun	24		
们	bun	24		
扪	bun	24		
闻	bun	24		
吻	bun	53		
刎	bun	53		
问	bun	11		
闷	bun	11		
敦	tun	44		
墩	tun	44		
蹲	tun	44		
盾	tun	53		
囤	tun	53		
顿	tun	31		
钝	tun	31		
盹	tun	31		
遁	tun	31		
吞	tʰun	44		
屯	tʰun	24		
豚	tʰun	24		猪～：正在长大的小猪
唇	tʰun	24		
填	tʰun	11	白读	～海
□	lun	44		以刀绕物切削：～甘蔗
仑	lun	24		
沦	lun	24		
伦	lun	24		
轮	lun	24		
论	lun	24		～语
抡	lun	24		
忍	lun	53	白读	
论	lun	11		议～
嫩	lun	11		
闰	lun	11		～月
尊	t͡sun	44		
遵	t͡sun	44		
樽	t͡sun	44		
谆	t͡sun	44		
船	t͡sun	24	白读	
存	t͡sun	24		
准	t͡sun	53		
俊	t͡sun	11		
春	t͡sʰun	44		
村	t͡sʰun	44		
皴	t͡sʰun	44		
存	t͡sʰun	24	白读	保留备用
蠢	t͡sʰun	53		
寸	t͡sʰun	11		
孙	sun	44		
纯	sun	24		
旬	sun	24		
洵	sun	24		
殉	sun	24		
荀	sun	24		
醇	sun	24		
巡	sun	24		
□	sun	24		形容性格温顺
笋	sun	53		
损	sun	53		
榫	sun	53		～头
舜	sun	11		
瞬	sun	11		
逊	sun	11		
顺	sun	11		
润	zun	11		
军	kun	44		
君	kun	44		
群	kun	24		
裙	kun	24		
拳	kun	24		
滚	kun	53		
鲧	kun	53		
棍	kun	11		
郡	kun	11		
昆	kʰun	44		
琨	kʰun	44		
鲲	kʰun	44		
□	kʰun	24		草～：稻草垛
捆	kʰun	53		
菌	kʰun	53		
困	kʰun	11		
□	ɡun	53		我们
昏	hun	44		
婚	hun	44		
分	hun	44		
芬	hun	44		
吩	hun	44		
汾	hun	44		
纷	hun	44		
勋	hun	44		
熏	hun	44		
薰	hun	44		
荤	hun	44		
云	hun	24		
魂	hun	24		
坟	hun	24		
焚	hun	24		
浑	hun	24		
珲	hun	24		
粉	hun	53		
奋	hun	53		
混	hun	31		
晕	hun	31		
份	hun	11		
忿	hun	11		
氛	hun	11		
训	hun	11		
驯	hun	11		
愤	hun	11		
粪	hun	11		
温	un	44		
瘟	un	44		
匀	un	24		
耘	un	24		
稳	un	53		
□	un	11		～一下：蘸一下
蕴	un	11		
愠	un	11		
运	un	11		
酝	un	11		
韵	un	11		
兵	piŋ	44		
冰	piŋ	44		
平	piŋ	24		
坪	piŋ	24		
苹	piŋ	24		
萍	piŋ	24		
屏	piŋ	24		
瓶	piŋ	24		
朋	piŋ	24		
凭	piŋ	24		
丙	piŋ	53		
炳	piŋ	53		
饼	piŋ	53		
秉	piŋ	53		又读
禀	piŋ	53		又读
並	piŋ	11		
并	piŋ	11		合～
柄	piŋ	11		把～
病	piŋ	11		
乒	pʰiŋ	44		
评	pʰiŋ	24		
彭	pʰiŋ	24		
澎	pʰiŋ	24		
膨	pʰiŋ	24		
姘	pʰiŋ	11		
拼	pʰiŋ	11		
聘	pʰiŋ	11		
明	biŋ	24		
盟	biŋ	24		
萌	biŋ	24		
名	biŋ	24		
铭	biŋ	24		
孟	biŋ	53		
猛	biŋ	53		
蜢	biŋ	53		
锰	biŋ	53		
冥	biŋ	53		
暝	biŋ	53		
螟	biŋ	53		
命	biŋ	11		～令
丁	tiŋ	44		
汀	tiŋ	44		
灯	tiŋ	44		
钉	tiŋ	44		铁～
疔	tiŋ	44		
盯	tiŋ	44		
登	tiŋ	44		
亭	tiŋ	24		
婷	tiŋ	24		
廷	tiŋ	24		
庭	tiŋ	24		
等	tiŋ	53		
顶	tiŋ	53		
鼎	tiŋ	53		
锭	tiŋ	31		
澄	tiŋ	31		～清
定	tiŋ	11		
钉	tiŋ	11		～钉
订	tiŋ	11		制～
厅	tʰiŋ	44		
汀	tʰiŋ	44		
